Time resolution is 1 ps
Time = 0, LFSR = 1111111111111111
Time = 15, LFSR = 0111111111111111
Time = 25, LFSR = 0011111111111111
Time = 35, LFSR = 0001111111111111
Time = 45, LFSR = 0000111111111111
Time = 55, LFSR = 1000011111111111
Time = 65, LFSR = 1100001111111111
Time = 75, LFSR = 1110000111111111
Time = 85, LFSR = 1111000011111111
Time = 95, LFSR = 0111100001111111
Time = 105, LFSR = 0011110000111111
Time = 115, LFSR = 0001111000011111
Time = 125, LFSR = 1000111100001111
Time = 135, LFSR = 0100011110000111
Time = 145, LFSR = 0010001111000011
Time = 155, LFSR = 0001000111100001
Time = 165, LFSR = 0000100011110000
Time = 175, LFSR = 1000010001111000
Time = 185, LFSR = 1100001000111100
Time = 195, LFSR = 1110000100011110
Time = 205, LFSR = 0111000010001111
Time = 215, LFSR = 1011100001000111
Time = 225, LFSR = 1101110000100011
Time = 235, LFSR = 0110111000010001
Time = 245, LFSR = 0011011100001000
Time = 255, LFSR = 1001101110000100
Time = 265, LFSR = 1100110111000010
Time = 275, LFSR = 0110011011100001
Time = 285, LFSR = 1011001101110000
Time = 295, LFSR = 0101100110111000
Time = 305, LFSR = 0010110011011100
Time = 315, LFSR = 0001011001101110
Time = 325, LFSR = 0000101100110111
Time = 335, LFSR = 1000010110011011
Time = 345, LFSR = 0100001011001101
Time = 355, LFSR = 0010000101100110
Time = 365, LFSR = 1001000010110011
Time = 375, LFSR = 0100100001011001
Time = 385, LFSR = 0010010000101100
Time = 395, LFSR = 1001001000010110
Time = 405, LFSR = 1100100100001011
Time = 415, LFSR = 0110010010000101
Time = 425, LFSR = 0011001001000010
Time = 435, LFSR = 1001100100100001
Time = 445, LFSR = 0100110010010000
Time = 455, LFSR = 0010011001001000
Time = 465, LFSR = 0001001100100100
Time = 475, LFSR = 0000100110010010
Time = 485, LFSR = 0000010011001001
Time = 495, LFSR = 0000001001100100
Time = 505, LFSR = 1000000100110010
$stop called at time : 510 ns : File "C:/Users/sginu/OneDrive/Desktop/EGEC/EGEC 446/LFSR_PRNG/LFSR_PRNG.srcs/sim_1/new/lfsr_tb.v" Line 28
